id,age,sex,pair,question,speaker,type,value
6,532,F,teddy_bear,bear_child,child,other,100
6,532,F,mousey_mouse,mouse_child,child,diminutive,0
6,532,F,duckie_duck,duck_child2,child,diminutive,0
6,532,F,potty_bathroom,bathroom_child,child,other,0
7,541,F,quackquack_duck,duck_child,child,onomatopoeia,50
7,541,F,woofwoof_dog,dog_child,child,onomatopoeia,80
7,541,F,choochoo_train,train_caregiver,caregiver,onomatopoeia,80
7,541,F,vroomvroom_car,car_caregiver,caregiver,onomatopoeia,100
7,541,F,quackquack_duck,duck_caregiver,caregiver,onomatopoeia,76
7,541,F,baabaa_sheep,sheep_caregiver,caregiver,onomatopoeia,100
7,541,F,woofwoof_dog,dog_caregiver,caregiver,onomatopoeia,100
7,541,F,cockadoodledoo_rooster,rooster_caregiver,caregiver,onomatopoeia,100
7,541,F,kitty_cat,cat_caregiver,caregiver,other,50
7,541,F,bunny_rabbit,rabbit_caregiver,caregiver,other,50
7,541,F,froggy_frog,frog_caregiver,caregiver,diminutive,100
7,541,F,horsey_horse,horse_caregiver,caregiver,diminutive,100
7,541,F,piggy_pig,pig_caregiver,caregiver,diminutive,50
7,541,F,fishy_fish,fish_caregiver,caregiver,diminutive,100
7,541,F,mousey_mouse,mouse_caregiver,caregiver,diminutive,100
7,541,F,duckie_duck,duck_caregiver2,caregiver,diminutive,50
7,541,F,doggy_dog,dog_caregiver2,caregiver,diminutive,50
7,541,F,birdie_bird,bird_caregiver,caregiver,diminutive,50
7,541,F,dolly_doll,doll_caregiver,caregiver,diminutive,50
7,541,F,teddy_bear,bear_caregiver,caregiver,other,0
7,541,F,blankie_blanket,blanket_caregiver,caregiver,diminutive,0
7,541,F,potty_bathroom,bathroom_caregiver,caregiver,other,0
7,541,F,tummy_stomach,stomach_caregiver,caregiver,other,0
7,541,F,mommy_mom,mom_caregiver,caregiver,diminutive,0
7,541,F,daddy_dad,dad_caregiver,caregiver,diminutive,0
7,541,F,sissy_sister,sister_caregiver,caregiver,other,100
7,541,F,auntie_aunt,aunt_caregiver,caregiver,diminutive,100
7,541,F,nightnight_goodnight,goodnight_caregiver,caregiver,other,30
7,541,F,baabaa_sheep,sheep_child,child,onomatopoeia,0
7,541,F,teddy_bear,bear_child,child,other,100
7,541,F,doggy_dog,dog_child2,child,diminutive,100
7,541,F,duckie_duck,duck_child2,child,diminutive,100
7,541,F,sissy_sister,sister_child,child,other,100
7,541,F,daddy_dad,dad_child,child,diminutive,0
7,541,F,mommy_mom,mom_child,child,diminutive,0
8,550,M,vroomvroom_car,car_child,child,onomatopoeia,95
8,550,M,woofwoof_dog,dog_child,child,onomatopoeia,35
8,550,M,choochoo_train,train_caregiver,caregiver,onomatopoeia,80
8,550,M,vroomvroom_car,car_caregiver,caregiver,onomatopoeia,80
8,550,M,quackquack_duck,duck_caregiver,caregiver,onomatopoeia,60
8,550,M,baabaa_sheep,sheep_caregiver,caregiver,onomatopoeia,61
8,550,M,woofwoof_dog,dog_caregiver,caregiver,onomatopoeia,60
8,550,M,cockadoodledoo_rooster,rooster_caregiver,caregiver,onomatopoeia,50
8,550,M,kitty_cat,cat_caregiver,caregiver,other,10
