x,predicted,std.error,conf.low,conf.high,group,model
72.64,0.7272162732105801,0.004184169434972139,0.7255864257347744,0.7288400580318418,1,child-cogsci
73.27,0.7296238978957205,0.004252169302753971,0.7279766635742176,0.73126483964405,1,child-cogsci
73.33,0.7298524966381172,0.004258681712866035,0.7282036099245642,0.7314950685694052,1,child-cogsci
73.79,0.7316010372315275,0.004308813471933177,0.7299395056057618,0.7332560820094607,1,child-cogsci
74.61,0.7347001714050837,0.004399041073532004,0.7330162173386434,0.7363773240588466,1,child-cogsci
76.32,0.7410889922395125,0.004590496962235229,0.7393589018229076,0.7428115933767739,1,child-cogsci
76.68,0.7424211784207511,0.00463133196764896,0.7406815029365704,0.744153214400234,1,child-cogsci
77.77,0.7464273597470635,0.004756007880919461,0.7446589772336693,0.74818763664162,1,child-cogsci
79.05,0.7510790459950863,0.00490427890404371,0.7492776200808647,0.7528717976996927,1,child-cogsci
79.74,0.753562805659411,0.004984981572412826,0.7517438958975284,0.7553727254085625,1,child-cogsci
80.17,0.7551021959003613,0.0050355339544159525,0.7532725142966716,0.7569226874564922,1,child-cogsci
80.36,0.7557803183681431,0.005057932576769563,0.7539459083454862,0.7576054491746633,1,child-cogsci
80.53,0.756385981261742,0.005078004826420895,0.7545473570535748,0.758215246068443,1,child-cogsci
81.28,0.7590458487702766,0.005166903645372179,0.7571888228949113,0.7608931569894871,1,child-cogsci
81.84,0.7610189151811491,0.005233635695491035,0.7591483574851987,0.7628794830122562,1,child-cogsci
82.04,0.761720889995765,0.005257539463979914,0.7598455437787675,0.7635861481690118,1,child-cogsci
82.5,0.7633300483203987,0.005312655846183613,0.7614437786947316,0.7652060021948203,1,child-cogsci
82.73,0.7641318105952342,0.0053402845869359224,0.7622401270538093,0.7660130635500981,1,child-cogsci
83.02,0.7651400489163325,0.005375186395265375,0.7632415851935183,0.7670279363376453,1,child-cogsci
14.29,0.6524088289698268,0.0039037795390546768,0.6506717220316067,0.6541418892939478,1,caregiver-full
14.95,0.6544044915942965,0.0038458853440009374,0.6526977707898088,0.656107244234816,1,caregiver-full
15.51,0.6560935302504213,0.0037970483510682876,0.6544123932418094,0.6577707659889815,1,caregiver-full
16.1,0.6578687923947498,0.0037458904258306897,0.6562144064168988,0.6595193478214991,1,caregiver-full
16.33,0.6585596511945756,0.00372603223750813,0.6569156356987437,0.6601998637566749,1,caregiver-full
17.48,0.6620038130453525,0.003627487664764582,0.6604111459527947,0.6635928154878323,1,caregiver-full
17.77,0.6628696532072885,0.003602841491853416,0.661289798344322,0.664445878296049,1,caregiver-full
18.07,0.6637642014044747,0.0035774355865384596,0.6621975409654387,0.6653272681288985,1,caregiver-full
18.2,0.6641514750179713,0.003566455314379497,0.662590513103539,0.6657088588349663,1,caregiver-full
19.06,0.6667078630307178,0.0034942713017366437,0.6651843022473674,0.6682279488259731,1,caregiver-full
19.52,0.6680712306939451,0.003455996946534729,0.6665674581553372,0.6695715831927095,1,caregiver-full
20.99,0.6724091467906185,0.003335362896581129,0.6709675467941302,0.6738475008843487,1,caregiver-full
21.22,0.6730852349277521,0.0033167317312886944,0.6716532104684242,0.6745140404759857,1,caregiver-full
21.29,0.6732908583946544,0.003311075026805441,0.6718617398075027,0.6747167662695974,1,caregiver-full
21.82,0.6748455567540852,0.003268456632100815,0.6734383104070829,0.6762496542081706,1,caregiver-full
22.51,0.6768638368004899,0.0032135486774475786,0.6754847154847925,0.6782398889561947,1,caregiver-full
23.23,0.6789628664428659,0.0031569824789857022,0.6776126563570694,0.6803100895473797,1,caregiver-full
23.33,0.6792538294558244,0.003149187174562217,0.6779075986235918,0.6805970846307242,1,caregiver-full
23.43,0.6795446532260471,0.003141407116802761,0.6782023926784637,0.6808839494172818,1,caregiver-full
23.95,0.6810546860988929,0.0031012010229560594,0.679732924640664,0.6823735415822968,1,caregiver-full
24.25,0.6819241355927551,0.0030782005213721457,0.6806140870409246,0.6832313115457567,1,caregiver-full
24.48,0.6825898562464334,0.003060666140528007,0.6812887303225501,0.6838881350010266,1,caregiver-full
25.23,0.6847554911398369,0.0030041071767702814,0.6834831077019564,0.6860251093211209,1,caregiver-full
25.43,0.6853316455607625,0.0029891893953204254,0.6840668336408213,0.686593713794068,1,caregiver-full
26.74,0.6890913083686089,0.002893291203366245,0.687875081350593,0.69030492989402,1,caregiver-full
28.58,0.6943301250958598,0.002764374095993977,0.6931790066922837,0.69547882204143,1,caregiver-full
28.95,0.6953775986706436,0.002739339833587063,0.6942391032196584,0.6965137081037401,1,caregiver-full
29.37,0.6965641743432134,0.0027113073637452224,0.6954398083746428,0.6976861938446779,1,caregiver-full
30.23,0.6989856654292274,0.0026552369084073394,0.6978895512344461,0.7000795118045658,1,caregiver-full
30.42,0.6995191599456869,0.0026430989274464087,0.6984291610732227,0.7006069079371119,1,caregiver-full
31.38,0.7022064390812542,0.0025832204711984425,0.7011466154617665,0.7032640948827501,1,caregiver-full
32,0.7039345964593442,0.0025458913896998178,0.7028936001315153,0.7049734763009348,1,caregiver-full
32.43,0.7051297380510276,0.0025206504755872624,0.7041014845715947,0.7061559095399467,1,caregiver-full
32.82,0.7062112723756768,0.002498232555799293,0.7051943481593698,0.7072261450860007,1,caregiver-full
32.99,0.706681984733013,0.002488605287908399,0.70566992990095,0.7076920011044963,1,caregiver-full
33.38,0.7077601852900366,0.002466858274328586,0.7067591406885655,0.7087592207933383,1,caregiver-full
33.61,0.7083949551951131,0.0024542584730482438,0.7074002975746564,0.7093876206600848,1,caregiver-full
34.46,0.7107337878968094,0.0024091929406372327,0.7097620348641512,0.711703608930002,1,caregiver-full
35.12,0.7125421290728797,0.002375890939706333,0.711587381399821,0.7134949887206163,1,caregiver-full
36.27,0.7156768537000349,0.0023215976362336993,0.7147500454301443,0.7166018446485682,1,caregiver-full
36.3,0.7157583528800089,0.0023202471799823117,0.7148322439692251,0.7166826462109184,1,caregiver-full
37.09,0.717899420003035,0.002285938054368558,0.7169911737867337,0.7188058945702305,1,caregiver-full
37.82,0.7198691465658317,0.0022564437513449675,0.7189764396392562,0.7207601190775238,1,caregiver-full
38.08,0.7205686605141945,0.00224646799994503,0.7196812591680938,0.7214543399126406,1,caregiver-full
38.87,0.7226875321339502,0.00221791446320117,0.7218154994329499,0.7235578781628421,1,caregiver-full
39.23,0.7236498029854294,0.0022058000414806778,0.7227843929942257,0.724513541061385,1,caregiver-full
39.72,0.7249562388140648,0.002190236668908264,0.7240994542078218,0.7258113702447628,1,caregiver-full
40.35,0.7266302982954748,0.002171828488833579,0.7257839365856185,0.7274750286139119,1,caregiver-full
